nohup: ignoring input
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                   [-1, 28]             868
              ReLU-2                   [-1, 28]               0
            Linear-3                   [-1, 24]             696
              ReLU-4                   [-1, 24]               0
            Linear-5                   [-1, 20]             500
              ReLU-6                   [-1, 20]               0
            Linear-7                   [-1, 16]             336
            Linear-8                   [-1, 16]             336
================================================================
Total params: 2,736
Trainable params: 2,736
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.00
Params size (MB): 0.01
Estimated Total Size (MB): 0.01
----------------------------------------------------------------
encoder: None
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                   [-1, 20]             340
              ReLU-2                   [-1, 20]               0
            Linear-3                   [-1, 24]             504
              ReLU-4                   [-1, 24]               0
            Linear-5                   [-1, 28]             700
              ReLU-6                   [-1, 28]               0
            Linear-7                   [-1, 30]             870
================================================================
Total params: 2,414
Trainable params: 2,414
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.00
Params size (MB): 0.01
Estimated Total Size (MB): 0.01
----------------------------------------------------------------
decoder: None
epoch=100, loss=1.99e-02, min_loss=1.98e-02, kld=20.39, recon=1.89e-02, size_dis=0.120, mean_size=3.13, max_size=251.57(997), time=2.88
epoch=1600, loss=1.12e-02, min_loss=1.12e-02, kld=14.90, recon=1.05e-02, size_dis=0.063, mean_size=1.47, max_size=379.08(999), time=55.74
epoch=1700, loss=1.12e-02, min_loss=1.11e-02, kld=14.69, recon=1.04e-02, size_dis=0.062, mean_size=1.35, max_size=307.61(999), time=58.87
epoch=1800, loss=1.12e-02, min_loss=1.11e-02, kld=14.68, recon=1.04e-02, size_dis=0.062, mean_size=1.20, max_size=204.98(999), time=62.01
epoch=1900, loss=1.12e-02, min_loss=1.10e-02, kld=14.46, recon=1.05e-02, size_dis=0.062, mean_size=1.11, max_size=110.88(999), time=65.15
epoch=2000, loss=1.10e-02, min_loss=1.10e-02, kld=14.61, recon=1.02e-02, size_dis=0.061, mean_size=1.14, max_size=115.52(999), time=68.29

12642, 35791, acc=3.18e-02, 3.73e-02, 4.78e-02, cov=3.09e-02, 4.43e-02, 8.78e-02

epoch=2100, loss=1.06e-02, min_loss=1.06e-02, kld=14.75, recon=9.85e-03, size_dis=0.056, mean_size=0.78, max_size=167.55(999), time=83.79
epoch=2200, loss=1.03e-02, min_loss=1.03e-02, kld=14.92, recon=9.60e-03, size_dis=0.054, mean_size=0.57, max_size=71.51(999), time=86.92
epoch=2300, loss=1.03e-02, min_loss=1.03e-02, kld=14.70, recon=9.56e-03, size_dis=0.054, mean_size=0.57, max_size=78.88(999), time=90.07
epoch=2400, loss=1.02e-02, min_loss=1.02e-02, kld=14.86, recon=9.46e-03, size_dis=0.053, mean_size=0.52, max_size=64.29(999), time=93.19
epoch=2500, loss=1.02e-02, min_loss=1.01e-02, kld=14.82, recon=9.45e-03, size_dis=0.052, mean_size=0.47, max_size=60.25(997), time=96.32
epoch=2600, loss=1.01e-02, min_loss=9.96e-03, kld=14.90, recon=9.34e-03, size_dis=0.051, mean_size=0.47, max_size=52.73(997), time=99.45
epoch=2700, loss=9.92e-03, min_loss=9.84e-03, kld=14.87, recon=9.17e-03, size_dis=0.051, mean_size=0.47, max_size=40.88(997), time=102.59
epoch=2800, loss=9.94e-03, min_loss=9.75e-03, kld=14.94, recon=9.19e-03, size_dis=0.051, mean_size=0.48, max_size=51.28(997), time=105.71
epoch=2900, loss=9.81e-03, min_loss=9.74e-03, kld=14.93, recon=9.06e-03, size_dis=0.050, mean_size=0.48, max_size=54.81(997), time=108.84
epoch=3000, loss=9.80e-03, min_loss=9.73e-03, kld=14.89, recon=9.05e-03, size_dis=0.050, mean_size=0.52, max_size=52.94(997), time=111.99

11747, 35791, acc=3.22e-02, 4.01e-02, 5.42e-02, cov=2.98e-02, 3.94e-02, 6.63e-02

epoch=3100, loss=9.77e-03, min_loss=9.65e-03, kld=14.92, recon=9.02e-03, size_dis=0.050, mean_size=0.47, max_size=46.35(496), time=127.10
epoch=3200, loss=9.67e-03, min_loss=9.62e-03, kld=14.97, recon=8.92e-03, size_dis=0.050, mean_size=0.50, max_size=49.58(997), time=130.22
epoch=3300, loss=9.67e-03, min_loss=9.61e-03, kld=14.86, recon=8.93e-03, size_dis=0.050, mean_size=0.50, max_size=48.12(496), time=133.27
epoch=3400, loss=9.64e-03, min_loss=9.57e-03, kld=15.03, recon=8.89e-03, size_dis=0.049, mean_size=0.48, max_size=47.18(496), time=136.36
epoch=3500, loss=9.62e-03, min_loss=9.55e-03, kld=14.84, recon=8.88e-03, size_dis=0.049, mean_size=0.52, max_size=48.55(999), time=139.50
epoch=3600, loss=9.54e-03, min_loss=9.50e-03, kld=14.78, recon=8.80e-03, size_dis=0.049, mean_size=0.50, max_size=49.91(496), time=142.64
epoch=3700, loss=9.54e-03, min_loss=9.47e-03, kld=15.00, recon=8.79e-03, size_dis=0.049, mean_size=0.48, max_size=50.08(496), time=145.78
epoch=3800, loss=9.51e-03, min_loss=9.44e-03, kld=14.71, recon=8.77e-03, size_dis=0.049, mean_size=0.49, max_size=47.18(497), time=148.94
epoch=3900, loss=9.49e-03, min_loss=9.41e-03, kld=14.82, recon=8.74e-03, size_dis=0.049, mean_size=0.51, max_size=51.92(999), time=152.08
epoch=4000, loss=9.44e-03, min_loss=9.37e-03, kld=14.83, recon=8.70e-03, size_dis=0.048, mean_size=0.48, max_size=48.68(497), time=155.21

10558, 35791, acc=3.26e-02, 3.80e-02, 5.69e-02, cov=2.79e-02, 3.79e-02, 6.83e-02

epoch=4100, loss=9.39e-03, min_loss=9.33e-03, kld=14.74, recon=8.65e-03, size_dis=0.048, mean_size=0.48, max_size=50.36(496), time=169.50
epoch=4200, loss=9.36e-03, min_loss=9.31e-03, kld=14.72, recon=8.63e-03, size_dis=0.048, mean_size=0.51, max_size=49.67(496), time=172.56
epoch=4300, loss=9.40e-03, min_loss=9.26e-03, kld=14.75, recon=8.66e-03, size_dis=0.048, mean_size=0.48, max_size=54.57(497), time=175.72
epoch=4400, loss=9.31e-03, min_loss=9.25e-03, kld=14.75, recon=8.57e-03, size_dis=0.048, mean_size=0.45, max_size=54.02(496), time=178.83
epoch=4500, loss=9.23e-03, min_loss=9.19e-03, kld=14.69, recon=8.49e-03, size_dis=0.048, mean_size=0.48, max_size=53.82(497), time=181.74
epoch=4600, loss=9.17e-03, min_loss=9.16e-03, kld=14.82, recon=8.43e-03, size_dis=0.047, mean_size=0.47, max_size=52.04(496), time=184.58
epoch=4700, loss=9.19e-03, min_loss=9.15e-03, kld=14.49, recon=8.46e-03, size_dis=0.047, mean_size=0.44, max_size=50.94(496), time=187.62
epoch=4800, loss=9.21e-03, min_loss=9.12e-03, kld=14.63, recon=8.48e-03, size_dis=0.047, mean_size=0.45, max_size=51.78(496), time=190.60
epoch=4900, loss=9.07e-03, min_loss=9.07e-03, kld=14.66, recon=8.34e-03, size_dis=0.047, mean_size=0.48, max_size=48.42(496), time=193.59
epoch=5000, loss=9.07e-03, min_loss=9.05e-03, kld=14.65, recon=8.34e-03, size_dis=0.047, mean_size=0.47, max_size=52.82(496), time=196.53

8532, 35791, acc=3.01e-02, 3.41e-02, 4.60e-02, cov=2.91e-02, 3.95e-02, 7.06e-02

epoch=5100, loss=9.06e-03, min_loss=9.01e-03, kld=14.60, recon=8.33e-03, size_dis=0.047, mean_size=0.46, max_size=53.11(497), time=208.48
epoch=5200, loss=9.03e-03, min_loss=8.99e-03, kld=14.54, recon=8.30e-03, size_dis=0.047, mean_size=0.49, max_size=51.64(496), time=211.46
epoch=5300, loss=8.97e-03, min_loss=8.97e-03, kld=14.38, recon=8.25e-03, size_dis=0.047, mean_size=0.44, max_size=53.86(497), time=214.35
epoch=5400, loss=8.99e-03, min_loss=8.94e-03, kld=14.26, recon=8.28e-03, size_dis=0.047, mean_size=0.47, max_size=54.41(496), time=217.06
epoch=5500, loss=9.00e-03, min_loss=8.90e-03, kld=14.37, recon=8.28e-03, size_dis=0.047, mean_size=0.48, max_size=53.84(497), time=220.07
epoch=5600, loss=8.91e-03, min_loss=8.88e-03, kld=14.31, recon=8.20e-03, size_dis=0.046, mean_size=0.48, max_size=52.54(496), time=223.06
epoch=5700, loss=8.96e-03, min_loss=8.87e-03, kld=14.09, recon=8.26e-03, size_dis=0.046, mean_size=0.45, max_size=55.76(496), time=226.11
epoch=5800, loss=8.86e-03, min_loss=8.84e-03, kld=14.00, recon=8.16e-03, size_dis=0.046, mean_size=0.46, max_size=55.89(496), time=229.11
epoch=5900, loss=8.90e-03, min_loss=8.83e-03, kld=13.60, recon=8.22e-03, size_dis=0.046, mean_size=0.45, max_size=57.63(496), time=232.23
epoch=6000, loss=8.81e-03, min_loss=8.78e-03, kld=12.88, recon=8.16e-03, size_dis=0.046, mean_size=0.45, max_size=56.55(497), time=235.10

7782, 35791, acc=2.78e-02, 3.23e-02, 3.84e-02, cov=2.95e-02, 3.98e-02, 7.28e-02

epoch=6100, loss=8.82e-03, min_loss=8.74e-03, kld=12.89, recon=8.18e-03, size_dis=0.045, mean_size=0.47, max_size=56.00(496), time=246.97
epoch=6200, loss=8.77e-03, min_loss=8.70e-03, kld=12.90, recon=8.13e-03, size_dis=0.045, mean_size=0.43, max_size=53.61(496), time=249.85
epoch=6300, loss=8.73e-03, min_loss=8.68e-03, kld=12.78, recon=8.09e-03, size_dis=0.045, mean_size=0.45, max_size=53.22(496), time=252.83
epoch=6400, loss=8.68e-03, min_loss=8.66e-03, kld=12.40, recon=8.06e-03, size_dis=0.045, mean_size=0.46, max_size=56.83(496), time=255.69
epoch=6500, loss=8.63e-03, min_loss=8.62e-03, kld=12.40, recon=8.01e-03, size_dis=0.045, mean_size=0.45, max_size=54.85(497), time=258.52
epoch=6600, loss=8.59e-03, min_loss=8.59e-03, kld=12.29, recon=7.98e-03, size_dis=0.045, mean_size=0.48, max_size=54.17(497), time=261.64
epoch=6700, loss=8.66e-03, min_loss=8.56e-03, kld=12.21, recon=8.05e-03, size_dis=0.045, mean_size=0.44, max_size=55.11(497), time=264.63
epoch=6800, loss=8.62e-03, min_loss=8.56e-03, kld=12.25, recon=8.01e-03, size_dis=0.045, mean_size=0.42, max_size=51.23(496), time=267.63
epoch=6900, loss=8.59e-03, min_loss=8.54e-03, kld=12.19, recon=7.98e-03, size_dis=0.045, mean_size=0.43, max_size=54.43(497), time=270.55
epoch=7000, loss=8.55e-03, min_loss=8.52e-03, kld=12.15, recon=7.94e-03, size_dis=0.045, mean_size=0.45, max_size=52.33(496), time=273.52

8312, 35791, acc=2.80e-02, 3.16e-02, 4.21e-02, cov=2.92e-02, 3.72e-02, 7.13e-02

epoch=7100, loss=8.53e-03, min_loss=8.50e-03, kld=12.16, recon=7.92e-03, size_dis=0.044, mean_size=0.43, max_size=53.83(496), time=285.50
epoch=7200, loss=8.49e-03, min_loss=8.47e-03, kld=12.07, recon=7.89e-03, size_dis=0.044, mean_size=0.42, max_size=52.06(496), time=288.48
epoch=7300, loss=8.51e-03, min_loss=8.48e-03, kld=12.06, recon=7.91e-03, size_dis=0.044, mean_size=0.43, max_size=53.17(496), time=291.53
epoch=7400, loss=8.50e-03, min_loss=8.46e-03, kld=12.12, recon=7.90e-03, size_dis=0.044, mean_size=0.42, max_size=51.09(497), time=294.45
epoch=7500, loss=8.50e-03, min_loss=8.44e-03, kld=12.04, recon=7.90e-03, size_dis=0.044, mean_size=0.45, max_size=51.22(497), time=297.44
epoch=7600, loss=8.47e-03, min_loss=8.42e-03, kld=12.20, recon=7.86e-03, size_dis=0.044, mean_size=0.45, max_size=53.08(497), time=300.55
epoch=7700, loss=8.48e-03, min_loss=8.41e-03, kld=12.17, recon=7.87e-03, size_dis=0.044, mean_size=0.45, max_size=56.37(496), time=303.58
epoch=7800, loss=8.42e-03, min_loss=8.38e-03, kld=12.16, recon=7.82e-03, size_dis=0.044, mean_size=0.43, max_size=53.50(497), time=306.54
epoch=7900, loss=8.39e-03, min_loss=8.39e-03, kld=12.08, recon=7.78e-03, size_dis=0.044, mean_size=0.42, max_size=53.89(497), time=309.63
epoch=8000, loss=8.38e-03, min_loss=8.36e-03, kld=12.12, recon=7.77e-03, size_dis=0.044, mean_size=0.45, max_size=52.53(497), time=312.62

8401, 35791, acc=2.89e-02, 3.48e-02, 4.41e-02, cov=2.88e-02, 3.79e-02, 6.99e-02

epoch=8100, loss=8.40e-03, min_loss=8.34e-03, kld=12.08, recon=7.80e-03, size_dis=0.044, mean_size=0.45, max_size=53.42(497), time=324.28
epoch=8200, loss=8.36e-03, min_loss=8.33e-03, kld=12.02, recon=7.76e-03, size_dis=0.044, mean_size=0.47, max_size=53.58(496), time=327.23
epoch=8300, loss=8.38e-03, min_loss=8.31e-03, kld=12.18, recon=7.77e-03, size_dis=0.044, mean_size=0.50, max_size=87.10(999), time=330.18
epoch=8400, loss=8.32e-03, min_loss=8.31e-03, kld=12.16, recon=7.71e-03, size_dis=0.044, mean_size=0.43, max_size=49.87(497), time=333.03
epoch=8500, loss=8.36e-03, min_loss=8.28e-03, kld=12.27, recon=7.74e-03, size_dis=0.043, mean_size=0.46, max_size=52.50(496), time=335.89
epoch=8600, loss=8.29e-03, min_loss=8.27e-03, kld=12.13, recon=7.68e-03, size_dis=0.044, mean_size=0.45, max_size=52.19(496), time=338.87
epoch=8700, loss=8.34e-03, min_loss=8.26e-03, kld=12.06, recon=7.74e-03, size_dis=0.043, mean_size=0.42, max_size=52.25(497), time=341.81
epoch=8800, loss=8.25e-03, min_loss=8.25e-03, kld=12.07, recon=7.65e-03, size_dis=0.043, mean_size=0.42, max_size=49.53(497), time=344.84
epoch=8900, loss=8.25e-03, min_loss=8.22e-03, kld=12.09, recon=7.65e-03, size_dis=0.043, mean_size=0.42, max_size=49.17(497), time=347.67
epoch=9000, loss=8.28e-03, min_loss=8.19e-03, kld=12.16, recon=7.67e-03, size_dis=0.043, mean_size=0.42, max_size=51.05(496), time=350.63

7884, 35791, acc=2.86e-02, 3.31e-02, 4.29e-02, cov=2.85e-02, 3.82e-02, 7.12e-02

epoch=9100, loss=8.25e-03, min_loss=8.21e-03, kld=12.26, recon=7.64e-03, size_dis=0.043, mean_size=0.45, max_size=55.92(496), time=362.43
epoch=9200, loss=8.23e-03, min_loss=8.17e-03, kld=12.21, recon=7.62e-03, size_dis=0.043, mean_size=0.43, max_size=49.73(496), time=365.43
epoch=9300, loss=8.27e-03, min_loss=8.19e-03, kld=12.12, recon=7.66e-03, size_dis=0.043, mean_size=0.42, max_size=49.51(497), time=368.39
epoch=9400, loss=8.25e-03, min_loss=8.16e-03, kld=12.19, recon=7.64e-03, size_dis=0.043, mean_size=0.45, max_size=50.93(497), time=371.43
epoch=9500, loss=8.17e-03, min_loss=8.16e-03, kld=12.02, recon=7.57e-03, size_dis=0.043, mean_size=0.43, max_size=50.81(496), time=374.32
epoch=9600, loss=8.26e-03, min_loss=8.15e-03, kld=12.14, recon=7.65e-03, size_dis=0.043, mean_size=0.43, max_size=53.00(497), time=377.40
epoch=9700, loss=8.16e-03, min_loss=8.12e-03, kld=12.23, recon=7.54e-03, size_dis=0.043, mean_size=0.43, max_size=52.79(496), time=380.41
epoch=9800, loss=8.28e-03, min_loss=8.11e-03, kld=12.13, recon=7.67e-03, size_dis=0.043, mean_size=0.44, max_size=51.47(497), time=383.20
epoch=9900, loss=8.20e-03, min_loss=8.12e-03, kld=12.16, recon=7.59e-03, size_dis=0.043, mean_size=0.43, max_size=53.69(496), time=386.21
epoch=10000, loss=8.21e-03, min_loss=8.12e-03, kld=12.13, recon=7.60e-03, size_dis=0.043, mean_size=0.43, max_size=46.81(496), time=389.21

7826, 35791, acc=2.76e-02, 3.22e-02, 4.15e-02, cov=2.92e-02, 3.91e-02, 7.17e-02

epoch=10100, loss=8.20e-03, min_loss=8.11e-03, kld=12.18, recon=7.60e-03, size_dis=0.043, mean_size=0.43, max_size=52.06(496), time=401.04
epoch=10200, loss=8.15e-03, min_loss=8.11e-03, kld=12.27, recon=7.54e-03, size_dis=0.043, mean_size=0.41, max_size=47.90(497), time=404.07
epoch=10300, loss=8.19e-03, min_loss=8.07e-03, kld=12.12, recon=7.58e-03, size_dis=0.043, mean_size=0.44, max_size=52.49(496), time=407.16
epoch=10400, loss=8.20e-03, min_loss=8.09e-03, kld=12.05, recon=7.59e-03, size_dis=0.043, mean_size=0.43, max_size=52.65(497), time=410.16
epoch=10500, loss=8.17e-03, min_loss=8.08e-03, kld=12.05, recon=7.57e-03, size_dis=0.043, mean_size=0.44, max_size=52.82(496), time=413.05
epoch=10600, loss=8.15e-03, min_loss=8.06e-03, kld=12.01, recon=7.55e-03, size_dis=0.042, mean_size=0.41, max_size=46.89(496), time=415.98
epoch=10700, loss=8.22e-03, min_loss=8.07e-03, kld=12.12, recon=7.61e-03, size_dis=0.042, mean_size=0.43, max_size=50.87(497), time=418.88
epoch=10800, loss=8.11e-03, min_loss=8.03e-03, kld=12.18, recon=7.51e-03, size_dis=0.042, mean_size=0.42, max_size=53.10(497), time=421.76
epoch=10900, loss=8.09e-03, min_loss=8.03e-03, kld=12.17, recon=7.48e-03, size_dis=0.042, mean_size=0.41, max_size=40.00(497), time=424.58
epoch=11000, loss=8.11e-03, min_loss=8.04e-03, kld=12.18, recon=7.50e-03, size_dis=0.042, mean_size=0.38, max_size=34.84(497), time=427.44

8576, 35791, acc=2.80e-02, 3.23e-02, 4.75e-02, cov=2.90e-02, 3.81e-02, 6.93e-02

epoch=11100, loss=8.12e-03, min_loss=8.02e-03, kld=12.09, recon=7.52e-03, size_dis=0.042, mean_size=0.38, max_size=36.44(496), time=439.16
epoch=11200, loss=8.10e-03, min_loss=8.01e-03, kld=12.31, recon=7.49e-03, size_dis=0.042, mean_size=0.38, max_size=32.85(497), time=442.27
epoch=11300, loss=8.07e-03, min_loss=8.03e-03, kld=12.14, recon=7.47e-03, size_dis=0.042, mean_size=0.38, max_size=31.57(497), time=445.29
epoch=11400, loss=8.10e-03, min_loss=8.01e-03, kld=12.17, recon=7.49e-03, size_dis=0.042, mean_size=0.37, max_size=31.88(496), time=448.23
epoch=11500, loss=8.10e-03, min_loss=8.00e-03, kld=12.11, recon=7.49e-03, size_dis=0.042, mean_size=0.37, max_size=36.55(496), time=451.04
epoch=11600, loss=8.11e-03, min_loss=7.99e-03, kld=12.26, recon=7.49e-03, size_dis=0.042, mean_size=0.38, max_size=32.93(497), time=453.82
epoch=11700, loss=8.00e-03, min_loss=7.96e-03, kld=12.18, recon=7.40e-03, size_dis=0.042, mean_size=0.37, max_size=33.47(496), time=456.96
epoch=11800, loss=8.01e-03, min_loss=7.97e-03, kld=12.23, recon=7.40e-03, size_dis=0.042, mean_size=0.36, max_size=26.46(496), time=460.08
epoch=11900, loss=8.05e-03, min_loss=7.98e-03, kld=12.31, recon=7.44e-03, size_dis=0.042, mean_size=0.37, max_size=29.61(496), time=463.08
epoch=12000, loss=8.00e-03, min_loss=7.98e-03, kld=12.18, recon=7.39e-03, size_dis=0.042, mean_size=0.37, max_size=28.53(496), time=465.98

7669, 35791, acc=2.72e-02, 3.23e-02, 4.15e-02, cov=2.86e-02, 3.72e-02, 7.19e-02

epoch=12100, loss=8.01e-03, min_loss=7.96e-03, kld=12.01, recon=7.41e-03, size_dis=0.042, mean_size=0.37, max_size=30.39(496), time=477.97
epoch=12200, loss=7.94e-03, min_loss=7.94e-03, kld=12.31, recon=7.32e-03, size_dis=0.041, mean_size=0.37, max_size=36.70(496), time=480.92
epoch=12300, loss=8.03e-03, min_loss=7.93e-03, kld=12.30, recon=7.41e-03, size_dis=0.042, mean_size=0.36, max_size=33.13(496), time=483.88
epoch=12400, loss=8.08e-03, min_loss=7.94e-03, kld=12.26, recon=7.47e-03, size_dis=0.042, mean_size=0.37, max_size=32.89(496), time=486.86
epoch=12500, loss=8.00e-03, min_loss=7.93e-03, kld=12.30, recon=7.38e-03, size_dis=0.042, mean_size=0.36, max_size=29.13(497), time=489.72
epoch=12600, loss=7.95e-03, min_loss=7.91e-03, kld=12.16, recon=7.34e-03, size_dis=0.041, mean_size=0.36, max_size=28.09(496), time=492.65
epoch=12700, loss=7.92e-03, min_loss=7.90e-03, kld=12.50, recon=7.30e-03, size_dis=0.041, mean_size=0.35, max_size=25.72(497), time=495.61
epoch=12800, loss=7.97e-03, min_loss=7.90e-03, kld=12.15, recon=7.36e-03, size_dis=0.041, mean_size=0.36, max_size=27.40(496), time=498.71
epoch=12900, loss=7.96e-03, min_loss=7.90e-03, kld=12.34, recon=7.35e-03, size_dis=0.041, mean_size=0.38, max_size=36.71(497), time=501.59
epoch=13000, loss=7.90e-03, min_loss=7.88e-03, kld=12.18, recon=7.29e-03, size_dis=0.041, mean_size=0.36, max_size=31.83(496), time=504.36

8289, 35791, acc=2.64e-02, 3.09e-02, 4.14e-02, cov=3.04e-02, 4.25e-02, 6.65e-02

epoch=13100, loss=8.06e-03, min_loss=7.88e-03, kld=12.16, recon=7.46e-03, size_dis=0.042, mean_size=0.37, max_size=29.14(496), time=516.35
epoch=13200, loss=7.91e-03, min_loss=7.87e-03, kld=12.24, recon=7.30e-03, size_dis=0.041, mean_size=0.37, max_size=34.62(496), time=519.48
epoch=13300, loss=8.02e-03, min_loss=7.87e-03, kld=12.05, recon=7.42e-03, size_dis=0.041, mean_size=0.34, max_size=22.73(496), time=522.61
epoch=13400, loss=7.95e-03, min_loss=7.85e-03, kld=12.20, recon=7.34e-03, size_dis=0.041, mean_size=0.34, max_size=22.45(497), time=525.77
epoch=13500, loss=7.89e-03, min_loss=7.85e-03, kld=12.23, recon=7.28e-03, size_dis=0.041, mean_size=0.35, max_size=34.50(496), time=528.91
epoch=13600, loss=7.90e-03, min_loss=7.83e-03, kld=12.18, recon=7.29e-03, size_dis=0.041, mean_size=0.36, max_size=21.24(497), time=532.05
epoch=13700, loss=7.95e-03, min_loss=7.84e-03, kld=12.32, recon=7.34e-03, size_dis=0.041, mean_size=0.37, max_size=31.19(496), time=535.19
epoch=13800, loss=7.93e-03, min_loss=7.84e-03, kld=12.11, recon=7.33e-03, size_dis=0.041, mean_size=0.35, max_size=28.38(496), time=538.33
epoch=13900, loss=7.88e-03, min_loss=7.82e-03, kld=12.20, recon=7.27e-03, size_dis=0.041, mean_size=0.35, max_size=23.47(497), time=541.46
epoch=14000, loss=7.98e-03, min_loss=7.84e-03, kld=12.19, recon=7.37e-03, size_dis=0.041, mean_size=0.34, max_size=28.33(497), time=544.56

7984, 35791, acc=2.65e-02, 3.13e-02, 4.25e-02, cov=2.89e-02, 3.89e-02, 7.63e-02

epoch=14100, loss=7.86e-03, min_loss=7.81e-03, kld=12.16, recon=7.25e-03, size_dis=0.041, mean_size=0.35, max_size=24.60(496), time=559.25
epoch=14200, loss=7.86e-03, min_loss=7.81e-03, kld=12.41, recon=7.24e-03, size_dis=0.041, mean_size=0.34, max_size=24.15(496), time=562.39
epoch=14300, loss=7.84e-03, min_loss=7.78e-03, kld=12.21, recon=7.23e-03, size_dis=0.041, mean_size=0.35, max_size=23.72(497), time=565.49
epoch=14400, loss=7.85e-03, min_loss=7.80e-03, kld=12.22, recon=7.24e-03, size_dis=0.041, mean_size=0.35, max_size=22.56(496), time=568.63
epoch=14500, loss=7.87e-03, min_loss=7.80e-03, kld=12.16, recon=7.26e-03, size_dis=0.041, mean_size=0.34, max_size=20.76(496), time=571.74
epoch=14600, loss=7.90e-03, min_loss=7.81e-03, kld=12.17, recon=7.29e-03, size_dis=0.041, mean_size=0.36, max_size=29.39(497), time=574.73
epoch=14700, loss=7.86e-03, min_loss=7.77e-03, kld=12.30, recon=7.24e-03, size_dis=0.041, mean_size=0.33, max_size=24.99(496), time=577.74
epoch=14800, loss=7.80e-03, min_loss=7.77e-03, kld=12.21, recon=7.19e-03, size_dis=0.041, mean_size=0.35, max_size=20.67(496), time=580.82
